,index,count,unique,top,freq,mean,std,min,25%,50%,75%,max
54,security_deposit,1866,46,$100.00,348,,,,,,,
55,cleaning_fee,2788,118,$50.00,310,,,,,,,
56,guests_included,3818.0,,,,1.6726034573074908,1.311039593501312,0.0,1.0,1.0,2.0,15.0
57,extra_people,3818,45,$0.00,2048,,,,,,,
58,minimum_nights,3818.0,,,,2.36930330015715,16.305902070200982,1.0,1.0,2.0,2.0,1000.0
59,maximum_nights,3818.0,,,,780.4476165531692,1683.5890074589977,1.0,60.0,1125.0,1125.0,100000.0
60,calendar_updated,3818,34,today,706,,,,,,,
61,availability_30,3818.0,,,,16.78627553693033,12.173636792603201,0.0,2.0,20.0,30.0,30.0
62,availability_60,3818.0,,,,36.81482451545312,23.337541400049254,0.0,13.0,46.0,59.0,60.0
63,availability_90,3818.0,,,,58.08250392875851,34.06384538319797,0.0,28.0,73.0,89.0,90.0
64,availability_365,3818.0,,,,244.7726558407543,126.77252630414684,0.0,124.0,308.0,360.0,365.0
65,number_of_reviews,3818.0,,,,22.22341540073337,37.73089228063948,0.0,2.0,9.0,26.0,474.0
66,first_review,3191,984,2015-09-21,25,,,,,,,
67,last_review,3191,321,2016-01-02,94,,,,,,,
68,review_scores_rating,3171.0,,,,94.53926206244087,6.606083179599051,20.0,93.0,96.0,99.0,100.0
69,review_scores_accuracy,3160.0,,,,9.63639240506329,0.6980311645060037,2.0,9.0,10.0,10.0,10.0
70,review_scores_cleanliness,3165.0,,,,9.556398104265403,0.7972739066160753,3.0,9.0,10.0,10.0,10.0
71,review_scores_checkin,3160.0,,,,9.786708860759493,0.5954990437936796,2.0,10.0,10.0,10.0,10.0
72,review_scores_communication,3167.0,,,,9.809598989580044,0.5682114414300821,2.0,10.0,10.0,10.0,10.0
73,review_scores_location,3163.0,,,,9.608915586468543,0.6290532278435134,4.0,9.0,10.0,10.0,10.0
74,review_scores_value,3162.0,,,,9.452245414294751,0.750258640958125,2.0,9.0,10.0,10.0,10.0
75,instant_bookable,3818,2,f,3227,,,,,,,
76,cancellation_policy,3818,3,strict,1417,,,,,,,
77,require_guest_profile_picture,3818,2,f,3497,,,,,,,
78,require_guest_phone_verification,3818,2,f,3443,,,,,,,
79,calculated_host_listings_count,3818.0,,,,2.9463069669984283,5.893029343748268,1.0,1.0,1.0,2.0,37.0
80,reviews_per_month,3191.0,,,,2.078918834221248,1.8223478061662373,0.02,0.695,1.54,3.0,12.15
81,host_since_in_years,3816.0,,,,4.527253668763103,1.5878937159225914,2.0,3.0,4.0,6.0,9.0
