,index,count,unique,top,freq,mean,std,min,25%,50%,75%,max
0,listing_id,1393570.0,,,,5550111.41854374,2962273.530070045,3335.0,3258213.0,6118244.5,8035212.0,10340165.0
1,date,1393570,365,2016-05-04,3818,,,,,,,
2,available,1393570,2,t,934542,,,,,,,
3,price,934542,669,$150.00,36646,,,,,,,
